Area,Finding ID,Feature,Expected Behavior,Actual Behavior,Pass/Fail,Severity,Assigned To,Fixed,Evidence
Security,P0-01,Public file-upload endpoint (POST /api/upload),"Requires a real, rotated shared secret; auth'd; dest whitelist",Hardcoded default key 'mr-drop-2026' in source; .env does NOT set UPLOAD_KEY; endpoint publicly reachable (wisdomignited.com/api/upload 403-probed; also 95.217.151.38:3019 open); with default key attacker writes arbitrary files to /opt/masseyrosupo.com AND /opt/wisdom-platform-git/frontend/public (both served web roots) - stored XSS / defacement / site takeover,FAIL,Critical,Backend,Yes,backend/upload.js:9; ufw 3019/tcp ALLOW Anywhere; off-box TCP connect OK from 5 nodes
Security,P0-02,Public filing wizard (Journey A: register instrument),Entity registers instrument -> Document ID issued -> retrievable,Wizard POSTs to `${API_ADMIN}/admin/document` where CIPHERNEX_API_HOST = api.masseyrosupo.wisdomignited.com/api (TLS-dead) and server.js defines NO /api/admin/document route. Wizard cannot register an instrument from any origin today,FAIL,Critical,Backend+Frontend,No,"index.html:1539,1701; js/config.js:29; server.js route inventory"
API/Infra,P0-03,Public API hostname TLS (api.masseyrosupo.wisdomignited.com),Resolves and serves over TLS,Cloudflare edge cert covers only *.wisdomignited.com (1 label); 2-level subdomain fails handshake (sslv3 alert 552). Origin vhost OK (Host-header probe 200). DNS correct (104.21.59.138/172.67.178.114 proxied). Single root cause of login/API spool on live site,FAIL,Critical,Infra/Cloudflare,Partial,curl -sv -> sslv3 alert handshake failure; origin nginx 200; dig via 1.1.1.1
Security,P0-04,Backend port 3019 internet exposure,Only 443/80 exposed,ufw: explicit '3019/tcp ALLOW Anywhere # M&R site backend' (v4+v6). Full static site + all APIs served plaintext HTTP on public IP; Bearer tokens in transit if used; upload+contact directly reachable; trustee APIs exposed to world (JWT-gated),FAIL,Critical,Infra,Yes,ufw status full output; off-box TCP connect OK from bg1/ch1/de2/hk1/si1
Security,P0-05,Security response headers (site + API),"HSTS, CSP, X-Frame-Options, X-Content-Type-Options",None on masseyrosupo.com (GitHub Pages/CF); backend helmet() has contentSecurityPolicy:false; no nginx/CF header layer,FAIL,Critical,Infra/Frontend,Yes,curl -sI live site; server.js:135
Security,P1-06,Rate limiting on M&R backend public endpoints,Rate-limited (esp. unauth write paths),"ZERO rate limiting in server.js (no express-rate-limit); /api/contact, /api/upload, OIDC callback all unthrottled. DocumentService :3004 has 100/15min limiter, M&R backend has none",FAIL,High,Backend,Yes,package.json (no rate pkg); server.js full read
Data Integrity,P1-07,Document ID issuance idempotency + FK chain,"Unique, irrevocable, ledger-recorded; no dupes on double-submit",No idempotency key anywhere: double-submit of POST /api/documents mints TWO CipherNex Document IDs for same file (sha256 not deduped). documents table has no unique constraint on document_id. No FK (foreign_keys=OFF). Mint happens before local INSERT - local failure after mint = orphan on-chain ID. Local schema drift: server.js INSERT omits title/type/amount/sha256 columns that the table defines,FAIL,Critical,Backend,Yes,masseyrosupo.db schema; server.js:434-440; PRAGMA foreign_keys=0
Data Integrity,P1-08,CIPR/Document chain in production,Document ID -> reserveReference -> CIPR chain proven,"documents=0, arbitrations=0, filings=3 (seed rows only). No Document ID has ever been minted through the gateway; the whole CIPR chain is unproven in prod",FAIL,High,Backend,No,DB row counts (read-only)
Auth,P1-09,Client/beneficiary arbitration visibility,Beneficiary sees own cases,"Logic bug: POST stamps owner_sub = filing TRUSTEE's sub; GET scopes client by owner_sub == beneficiary sub. Since only trustees file, owner_sub never matches a beneficiary -> client-arbitration.html always empty",FAIL,High,Backend,Yes,server.js:259-305
Auth,P1-10,Keycloak redirect URIs (massey-admin/massey-client),Exact HTTPS redirect URIs per portal,"Public clients (no secret, PKCE - correct) BUT redirect lists include http://localhost:3019/*, http://127.0.0.1:3019/*, http://95.217.151.38:3019/* wildcards (HTTP, public client) and identical 30+ page sets for BOTH clients; wildcard+HTTP = code-interception/open-redirect surface",FAIL,High,IAM,Yes,keycloak-ciphernex-db redirect_uris table
Security,P1-11,Stored XSS in arbitration case rendering,User-supplied case fields escaped before innerHTML,"arbitration.html:861-892 renders c.respondent / c.id into innerHTML template literals with NO escaping; respondent is trustee-supplied -> stored XSS candidate across trustee/beneficiary dashboards. IDENTIFIED only, not exploited (read-only)",FAIL,High,Frontend,Yes,"arbitration.html:873,892; LitDash.html:410"
Navigation,P1-12,Footer instrument links + #ledger section,Footer links reach a live section,Footer (index.html:1461-1488) links Bill of Exchange/Promissory Note/Trust Bond/Reserve Pledge/Trust Instrument + 'Ledger Registration' all to #ledger; section id='ledger' EXISTS (line 1026) but style='display:none' - dead nav,FAIL,High,Frontend,No,"index.html:1026,1461-1488"
Navigation,P1-13,SecureMainDash category links,Category links route to filtered views,"8 links (State & Admin, International, UCC, State DBs, Federal DBs, Tax, Procedural Summaries, Packets) all self-reference SecureMainDash.html with no anchor - dead scaffolding",FAIL,Medium,Frontend,No,"SecureMainDash.html:452-456,843-851"
Security,P1-14,CORS policy on M&R backend,Allowlisted origins only,"cors({ origin: true, credentials: true }) reflects ANY origin with credentials; combined with Bearer-token-in-localStorage model, raises token-exfil surface if any XSS exists",FAIL,Medium,Backend,Yes,server.js:136
Security,P1-15,Contact/inquiry endpoint (/api/contact),"Validated, stored, SLA-trackable","No validation, no persistence, no rate limit; PII (name/email) only console.log'd; 'reviewed within 2 business days' SLA unenforceable against nothing stored",FAIL,Medium,Backend,Yes,server.js:535-540
Content/Markup,P2-16,Cache-bust block in <head>,Single block per page,"11 duplicated CACHE-BUST blocks in index.html (local source AND live): hashes 20260802,a6b5003,d545e46,a3fa263,bec37a1,c0b1e7e,5c85a34,5178444,51e3112,9b000df,685c08a = historical deploys. bump_version.py claims idempotent but its strip regex requires exact 2-space indent; any drift -> append-only behavior. Build-tool bug, not live drift",FAIL,Medium,DevOps,Yes,bump_version.py; local index.html:1-30
Auth,P2-17,Role matrix per audit plan (10 roles),Trustee/Co-Trustee/Protector/Beneficiary/Observer/Admin/Auditor/EntityRep matrix,"Only realm roles trustee(5 users), beneficiary(1), observer exist. NO co-trustee/protector/auditor/admin/entity-rep roles. Server only enforces trustee/beneficiary. Matrix cannot be satisfied with current IAM",FAIL,Medium,IAM,Yes,keycloak_role table (realm roles); user_role_mapping counts
Navigation,P2-18,Arbitration CTAs (goArbitration),Open case manager / FAA pipeline,"NOT a dead feature: role-router sends trustee->arbitration.html, client->client-arbitration.html (both exist, API-wired). But href='#'+onclick anti-pattern: no href, no-JS broken, trusts localStorage role claim; 'FAA Pipeline' is not a distinct destination - same router",WARN,Medium,Frontend,No,index.html:1508-1519; my-account.html:173; LitDash.html:372
Content,P2-19,LitDash mock data vs backend,Single source of truth,"LitDash hardcodes mockMatters (M-101/M-102 'Breach of Contract', 'Shareholder Dispute', filed 2025) rendered as real matters; client-side FS-01..FS-50 fee generation duplicates backend schedule_fees table (two sources of truth)",FAIL,Medium,Frontend,Yes,LitDash.html:366-368
Housekeeping,P2-20,Repo cleanliness,Production files only,"test.html, LitDash1.html, dashboard_template.html, ledger.html still in repo; manifold-tracker.html untracked; ledger.html removal was pending from prior session",FAIL,Low,DevOps,No,repo listing; git status
Security,P2-21,OIDC callback redirect_uri handling,Server pins redirect_uri,"POST /api/auth/oidc-callback accepts redirect_uri from request BODY (redirect_uri || fallback). Keycloak validates against client registration, but body-controlled URI is sloppy and should be removed",WARN,Medium,Backend,No,server.js:187-227
Discoverability,P3-22,sitemap.xml,Valid sitemap,404 (GitHub Pages default),FAIL,Low,Frontend,No,direct fetch
